Year,Race,Driver,Team,GridPosition,RacePosition,Status,IsWetRace
2022,Miami Grand Prix,NOR,McLaren,8.0,19.0,Collision,True
2022,Miami Grand Prix,ZHO,Alfa Romeo,17.0,20.0,Water leak,True
2022,Spanish Grand Prix,VER,Red Bull Racing,2.0,1.0,Finished,False
2022,Spanish Grand Prix,PER,Red Bull Racing,5.0,2.0,Finished,False
2022,Spanish Grand Prix,RUS,Mercedes,4.0,3.0,Finished,False
2022,Spanish Grand Prix,SAI,Ferrari,3.0,4.0,Finished,False
2022,Spanish Grand Prix,HAM,Mercedes,6.0,5.0,Finished,False
2022,Spanish Grand Prix,BOT,Alfa Romeo,7.0,6.0,Finished,False
2022,Spanish Grand Prix,OCO,Alpine,12.0,7.0,Finished,False
2022,Spanish Grand Prix,NOR,McLaren,11.0,8.0,Finished,False
2022,Spanish Grand Prix,ALO,Alpine,20.0,9.0,+1 Lap,False
2022,Spanish Grand Prix,TSU,AlphaTauri,13.0,10.0,+1 Lap,False
2022,Spanish Grand Prix,VET,Aston Martin,16.0,11.0,+1 Lap,False
2022,Spanish Grand Prix,RIC,McLaren,9.0,12.0,+1 Lap,False
2022,Spanish Grand Prix,GAS,AlphaTauri,14.0,13.0,+1 Lap,False
2022,Spanish Grand Prix,MSC,Haas F1 Team,10.0,14.0,+1 Lap,False
2022,Spanish Grand Prix,STR,Aston Martin,17.0,15.0,+1 Lap,False
2022,Spanish Grand Prix,LAT,Williams,19.0,16.0,+2 Laps,False
2022,Spanish Grand Prix,MAG,Haas F1 Team,8.0,17.0,+2 Laps,False
2022,Spanish Grand Prix,ALB,Williams,18.0,18.0,+2 Laps,False
2022,Spanish Grand Prix,ZHO,Alfa Romeo,15.0,19.0,Power loss,False
2022,Spanish Grand Prix,LEC,Ferrari,1.0,20.0,Turbo,False
2022,Monaco Grand Prix,PER,Red Bull Racing,3.0,1.0,Finished,True
2022,Monaco Grand Prix,SAI,Ferrari,2.0,2.0,Finished,True
2022,Monaco Grand Prix,VER,Red Bull Racing,4.0,3.0,Finished,True
2022,Monaco Grand Prix,LEC,Ferrari,1.0,4.0,Finished,True
2022,Monaco Grand Prix,RUS,Mercedes,6.0,5.0,Finished,True
2022,Monaco Grand Prix,NOR,McLaren,5.0,6.0,Finished,True
2022,Monaco Grand Prix,ALO,Alpine,7.0,7.0,Finished,True
2022,Monaco Grand Prix,HAM,Mercedes,8.0,8.0,Finished,True
2022,Monaco Grand Prix,BOT,Alfa Romeo,12.0,9.0,Finished,True
2022,Monaco Grand Prix,VET,Aston Martin,9.0,10.0,Finished,True
2022,Monaco Grand Prix,GAS,AlphaTauri,17.0,11.0,Finished,True
2022,Monaco Grand Prix,OCO,Alpine,10.0,12.0,Finished,True
2022,Monaco Grand Prix,RIC,McLaren,14.0,13.0,Finished,True
2022,Monaco Grand Prix,STR,Aston Martin,18.0,14.0,Finished,True
2022,Monaco Grand Prix,LAT,Williams,19.0,15.0,+1 Lap,True
2022,Monaco Grand Prix,ZHO,Alfa Romeo,20.0,16.0,+1 Lap,True
2022,Monaco Grand Prix,TSU,AlphaTauri,11.0,17.0,+1 Lap,True
2022,Monaco Grand Prix,ALB,Williams,16.0,18.0,Mechanical,True
2022,Monaco Grand Prix,MSC,Haas F1 Team,15.0,19.0,Accident,True
2022,Monaco Grand Prix,MAG,Haas F1 Team,13.0,20.0,Water pressure,True
2022,Azerbaijan Grand Prix,VER,Red Bull Racing,3.0,1.0,Finished,False
2022,Azerbaijan Grand Prix,PER,Red Bull Racing,2.0,2.0,Finished,False
2022,Azerbaijan Grand Prix,RUS,Mercedes,5.0,3.0,Finished,False
2022,Azerbaijan Grand Prix,HAM,Mercedes,7.0,4.0,Finished,False
2022,Azerbaijan Grand Prix,GAS,AlphaTauri,6.0,5.0,Finished,False
2022,Azerbaijan Grand Prix,VET,Aston Martin,9.0,6.0,Finished,False
2022,Azerbaijan Grand Prix,ALO,Alpine,10.0,7.0,Finished,False
2022,Azerbaijan Grand Prix,RIC,McLaren,12.0,8.0,Finished,False
2022,Azerbaijan Grand Prix,NOR,McLaren,11.0,9.0,Finished,False
2022,Azerbaijan Grand Prix,OCO,Alpine,13.0,10.0,Finished,False
2022,Azerbaijan Grand Prix,BOT,Alfa Romeo,15.0,11.0,+1 Lap,False
2022,Azerbaijan Grand Prix,ALB,Williams,17.0,12.0,+1 Lap,False
2022,Azerbaijan Grand Prix,TSU,AlphaTauri,8.0,13.0,+1 Lap,False
2022,Azerbaijan Grand Prix,MSC,Haas F1 Team,20.0,14.0,+1 Lap,False
2022,Azerbaijan Grand Prix,LAT,Williams,18.0,15.0,+1 Lap,False
2022,Azerbaijan Grand Prix,STR,Aston Martin,19.0,16.0,Vibrations,False
2022,Azerbaijan Grand Prix,MAG,Haas F1 Team,16.0,17.0,Power Unit,False
2022,Azerbaijan Grand Prix,ZHO,Alfa Romeo,14.0,18.0,Hydraulics,False
2022,Azerbaijan Grand Prix,LEC,Ferrari,1.0,19.0,Power Unit,False
2022,Azerbaijan Grand Prix,SAI,Ferrari,4.0,20.0,Hydraulics,False
2022,Canadian Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2022,Canadian Grand Prix,SAI,Ferrari,3.0,2.0,Finished,False
2022,Canadian Grand Prix,HAM,Mercedes,4.0,3.0,Finished,False
2022,Canadian Grand Prix,RUS,Mercedes,8.0,4.0,Finished,False
2022,Canadian Grand Prix,LEC,Ferrari,19.0,5.0,Finished,False
2022,Canadian Grand Prix,OCO,Alpine,7.0,6.0,Finished,False
2022,Canadian Grand Prix,BOT,Alfa Romeo,11.0,7.0,Finished,False
2022,Canadian Grand Prix,ZHO,Alfa Romeo,10.0,8.0,Finished,False
2022,Canadian Grand Prix,ALO,Alpine,2.0,9.0,Finished,False
2022,Canadian Grand Prix,STR,Aston Martin,17.0,10.0,Finished,False
2022,Canadian Grand Prix,RIC,McLaren,9.0,11.0,Finished,False
2022,Canadian Grand Prix,VET,Aston Martin,16.0,12.0,Finished,False
2022,Canadian Grand Prix,ALB,Williams,12.0,13.0,Finished,False
2022,Canadian Grand Prix,GAS,AlphaTauri,15.0,14.0,Finished,False
2022,Canadian Grand Prix,NOR,McLaren,14.0,15.0,Finished,False
2022,Canadian Grand Prix,LAT,Williams,18.0,16.0,Finished,False
2022,Canadian Grand Prix,MAG,Haas F1 Team,5.0,17.0,Finished,False
2022,Canadian Grand Prix,TSU,AlphaTauri,20.0,18.0,Accident,False
2022,Canadian Grand Prix,MSC,Haas F1 Team,6.0,19.0,Engine,False
2022,Canadian Grand Prix,PER,Red Bull Racing,13.0,20.0,Gearbox,False
2022,British Grand Prix,SAI,Ferrari,1.0,1.0,Finished,False
2022,British Grand Prix,PER,Red Bull Racing,4.0,2.0,Finished,False
2022,British Grand Prix,HAM,Mercedes,5.0,3.0,Finished,False
2022,British Grand Prix,LEC,Ferrari,3.0,4.0,Finished,False
2022,British Grand Prix,ALO,Alpine,7.0,5.0,Finished,False
2022,British Grand Prix,NOR,McLaren,6.0,6.0,Finished,False
2022,British Grand Prix,VER,Red Bull Racing,2.0,7.0,Finished,False
2022,British Grand Prix,MSC,Haas F1 Team,19.0,8.0,Finished,False
2022,British Grand Prix,VET,Aston Martin,18.0,9.0,Finished,False
2022,British Grand Prix,MAG,Haas F1 Team,17.0,10.0,Finished,False
2022,British Grand Prix,STR,Aston Martin,20.0,11.0,Finished,False
2022,British Grand Prix,LAT,Williams,10.0,12.0,Finished,False
2022,British Grand Prix,RIC,McLaren,14.0,13.0,Finished,False
2022,British Grand Prix,TSU,AlphaTauri,13.0,14.0,Finished,False
2022,British Grand Prix,OCO,Alpine,15.0,15.0,Fuel pump,False
2022,British Grand Prix,GAS,AlphaTauri,11.0,16.0,Collision damage,False
2022,British Grand Prix,BOT,Alfa Romeo,12.0,17.0,Gearbox,False
2022,British Grand Prix,RUS,Mercedes,8.0,18.0,Collision,False
2022,British Grand Prix,ZHO,Alfa Romeo,9.0,19.0,Collision,False
2022,British Grand Prix,ALB,Williams,16.0,20.0,Collision,False
2022,Austrian Grand Prix,LEC,Ferrari,2.0,1.0,Finished,False
2022,Austrian Grand Prix,VER,Red Bull Racing,1.0,2.0,Finished,False
2022,Austrian Grand Prix,HAM,Mercedes,8.0,3.0,Finished,False
2022,Austrian Grand Prix,RUS,Mercedes,4.0,4.0,Finished,False
2022,Austrian Grand Prix,OCO,Alpine,6.0,5.0,Finished,False
2022,Austrian Grand Prix,MSC,Haas F1 Team,9.0,6.0,+1 Lap,False
2022,Austrian Grand Prix,NOR,McLaren,10.0,7.0,+1 Lap,False
2022,Austrian Grand Prix,MAG,Haas F1 Team,7.0,8.0,+1 Lap,False
2022,Austrian Grand Prix,RIC,McLaren,11.0,9.0,+1 Lap,False
2022,Austrian Grand Prix,ALO,Alpine,19.0,10.0,+1 Lap,False
2022,Austrian Grand Prix,BOT,Alfa Romeo,0.0,11.0,+1 Lap,False
2022,Austrian Grand Prix,ALB,Williams,15.0,12.0,+1 Lap,False
2022,Austrian Grand Prix,STR,Aston Martin,12.0,13.0,+1 Lap,False
2022,Austrian Grand Prix,ZHO,Alfa Romeo,13.0,14.0,+1 Lap,False
2022,Austrian Grand Prix,GAS,AlphaTauri,14.0,15.0,+1 Lap,False
2022,Austrian Grand Prix,TSU,AlphaTauri,16.0,16.0,+1 Lap,False
2022,Austrian Grand Prix,VET,Aston Martin,18.0,17.0,+1 Lap,False
2022,Austrian Grand Prix,SAI,Ferrari,3.0,18.0,Power Unit,False
2022,Austrian Grand Prix,LAT,Williams,17.0,19.0,Undertray,False
2022,Austrian Grand Prix,PER,Red Bull Racing,5.0,20.0,Collision damage,False
2022,French Grand Prix,VER,Red Bull Racing,2.0,1.0,Finished,False
2022,French Grand Prix,HAM,Mercedes,4.0,2.0,Finished,False
2022,French Grand Prix,RUS,Mercedes,6.0,3.0,Finished,False
2022,French Grand Prix,PER,Red Bull Racing,3.0,4.0,Finished,False
2022,French Grand Prix,SAI,Ferrari,19.0,5.0,Finished,False
2022,French Grand Prix,ALO,Alpine,7.0,6.0,Finished,False
2022,French Grand Prix,NOR,McLaren,5.0,7.0,Finished,False
2022,French Grand Prix,OCO,Alpine,10.0,8.0,Finished,False
2022,French Grand Prix,RIC,McLaren,9.0,9.0,Finished,False
2022,French Grand Prix,STR,Aston Martin,15.0,10.0,Finished,False
2022,French Grand Prix,VET,Aston Martin,12.0,11.0,Finished,False
2022,French Grand Prix,GAS,AlphaTauri,14.0,12.0,Finished,False
2022,French Grand Prix,ALB,Williams,13.0,13.0,Finished,False
2022,French Grand Prix,BOT,Alfa Romeo,11.0,14.0,Finished,False
2022,French Grand Prix,MSC,Haas F1 Team,17.0,15.0,Finished,False
2022,French Grand Prix,ZHO,Alfa Romeo,16.0,16.0,+6 Laps,False
2022,French Grand Prix,LAT,Williams,18.0,17.0,Collision damage,False
2022,French Grand Prix,MAG,Haas F1 Team,20.0,18.0,Collision damage,False
2022,French Grand Prix,LEC,Ferrari,1.0,19.0,Accident,False
2022,French Grand Prix,TSU,AlphaTauri,8.0,20.0,Undertray,False
2022,Hungarian Grand Prix,VER,Red Bull Racing,10.0,1.0,Finished,True
2022,Hungarian Grand Prix,HAM,Mercedes,7.0,2.0,Finished,True
2022,Hungarian Grand Prix,RUS,Mercedes,1.0,3.0,Finished,True
2022,Hungarian Grand Prix,SAI,Ferrari,2.0,4.0,Finished,True
2022,Hungarian Grand Prix,PER,Red Bull Racing,11.0,5.0,Finished,True
2022,Hungarian Grand Prix,LEC,Ferrari,3.0,6.0,Finished,True
2022,Hungarian Grand Prix,NOR,McLaren,4.0,7.0,Finished,True
2022,Hungarian Grand Prix,ALO,Alpine,6.0,8.0,+1 Lap,True
2022,Hungarian Grand Prix,OCO,Alpine,5.0,9.0,+1 Lap,True
2022,Hungarian Grand Prix,VET,Aston Martin,18.0,10.0,+1 Lap,True
2022,Hungarian Grand Prix,STR,Aston Martin,14.0,11.0,+1 Lap,True
2022,Hungarian Grand Prix,GAS,AlphaTauri,0.0,12.0,+1 Lap,True
2022,Hungarian Grand Prix,ZHO,Alfa Romeo,12.0,13.0,+1 Lap,True
2022,Hungarian Grand Prix,MSC,Haas F1 Team,15.0,14.0,+1 Lap,True
2022,Hungarian Grand Prix,RIC,McLaren,9.0,15.0,+1 Lap,True
2022,Hungarian Grand Prix,MAG,Haas F1 Team,13.0,16.0,+1 Lap,True
2022,Hungarian Grand Prix,ALB,Williams,17.0,17.0,+1 Lap,True
2022,Hungarian Grand Prix,LAT,Williams,19.0,18.0,+1 Lap,True
2022,Hungarian Grand Prix,TSU,AlphaTauri,16.0,19.0,+2 Laps,True
2022,Hungarian Grand Prix,BOT,Alfa Romeo,8.0,20.0,Power Unit,True
2022,Belgian Grand Prix,VER,Red Bull Racing,14.0,1.0,Finished,False
2022,Belgian Grand Prix,PER,Red Bull Racing,2.0,2.0,Finished,False
2022,Belgian Grand Prix,SAI,Ferrari,1.0,3.0,Finished,False
2022,Belgian Grand Prix,RUS,Mercedes,5.0,4.0,Finished,False
2022,Belgian Grand Prix,ALO,Alpine,3.0,5.0,Finished,False
2022,Belgian Grand Prix,LEC,Ferrari,15.0,6.0,Finished,False
2022,Belgian Grand Prix,OCO,Alpine,16.0,7.0,Finished,False
2022,Belgian Grand Prix,VET,Aston Martin,10.0,8.0,Finished,False
2022,Belgian Grand Prix,GAS,AlphaTauri,0.0,9.0,Finished,False
2022,Belgian Grand Prix,ALB,Williams,6.0,10.0,Finished,False
2022,Belgian Grand Prix,STR,Aston Martin,9.0,11.0,Finished,False
2022,Belgian Grand Prix,NOR,McLaren,17.0,12.0,Finished,False
2022,Belgian Grand Prix,TSU,AlphaTauri,0.0,13.0,Finished,False
2022,Belgian Grand Prix,ZHO,Alfa Romeo,18.0,14.0,Finished,False
2022,Belgian Grand Prix,RIC,McLaren,7.0,15.0,Finished,False
2022,Belgian Grand Prix,MAG,Haas F1 Team,12.0,16.0,+1 Lap,False
2022,Belgian Grand Prix,MSC,Haas F1 Team,19.0,17.0,+1 Lap,False
2022,Belgian Grand Prix,LAT,Williams,11.0,18.0,+1 Lap,False
2022,Belgian Grand Prix,BOT,Alfa Romeo,13.0,19.0,Accident,False
2022,Belgian Grand Prix,HAM,Mercedes,4.0,20.0,Collision damage,False
2022,Dutch Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2022,Dutch Grand Prix,RUS,Mercedes,6.0,2.0,Finished,False
2022,Dutch Grand Prix,LEC,Ferrari,2.0,3.0,Finished,False
2022,Dutch Grand Prix,HAM,Mercedes,4.0,4.0,Finished,False
2022,Dutch Grand Prix,PER,Red Bull Racing,5.0,5.0,Finished,False
2022,Dutch Grand Prix,ALO,Alpine,13.0,6.0,Finished,False
2022,Dutch Grand Prix,NOR,McLaren,7.0,7.0,Finished,False
2022,Dutch Grand Prix,SAI,Ferrari,3.0,8.0,Finished,False
2022,Dutch Grand Prix,OCO,Alpine,12.0,9.0,Finished,False
2022,Dutch Grand Prix,STR,Aston Martin,10.0,10.0,Finished,False
2022,Dutch Grand Prix,GAS,AlphaTauri,11.0,11.0,Finished,False
2022,Dutch Grand Prix,ALB,Williams,15.0,12.0,Finished,False
2022,Dutch Grand Prix,MSC,Haas F1 Team,8.0,13.0,Finished,False
2022,Dutch Grand Prix,VET,Aston Martin,19.0,14.0,Finished,False
2022,Dutch Grand Prix,MAG,Haas F1 Team,18.0,15.0,Finished,False
2022,Dutch Grand Prix,ZHO,Alfa Romeo,14.0,16.0,Finished,False
2022,Dutch Grand Prix,RIC,McLaren,17.0,17.0,Finished,False
2022,Dutch Grand Prix,LAT,Williams,20.0,18.0,+1 Lap,False
2022,Dutch Grand Prix,BOT,Alfa Romeo,16.0,19.0,Engine,False
2022,Dutch Grand Prix,TSU,AlphaTauri,9.0,20.0,Differential,False
2022,Italian Grand Prix,VER,Red Bull Racing,7.0,1.0,Finished,False
2022,Italian Grand Prix,LEC,Ferrari,1.0,2.0,Finished,False
2022,Italian Grand Prix,RUS,Mercedes,2.0,3.0,Finished,False
2022,Italian Grand Prix,SAI,Ferrari,18.0,4.0,Finished,False
2022,Italian Grand Prix,HAM,Mercedes,19.0,5.0,Finished,False
2022,Italian Grand Prix,PER,Red Bull Racing,13.0,6.0,Finished,False
2022,Italian Grand Prix,NOR,McLaren,3.0,7.0,Finished,False
2022,Italian Grand Prix,GAS,AlphaTauri,5.0,8.0,Finished,False
2022,Italian Grand Prix,DEV,Williams,8.0,9.0,Finished,False
2022,Italian Grand Prix,ZHO,Alfa Romeo,9.0,10.0,Finished,False
2022,Italian Grand Prix,OCO,Alpine,14.0,11.0,Finished,False
